1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
1762788985.7589343,4,3200000000.0
1762788985.7589343,5,3200000000.0
1762788985.7589343,6,3200000000.0
1762788985.7589343,7,3200000000.0
1762788985.7589343,8,3200000000.0
1762788985.7589343,9,3200000000.0
1762788985.7589343,0,3200000000.0
1762788985.7589343,1,3200000000.0
1762788985.7589343,2,3200000000.0
1762788985.7589343,3,3200000000.0
