time,target_perf_Hz,measured_perf_Hz,error_Hz,u_ff_W,correction_W,pcap_cmd_W,measured_power_W,Kp,Ki,Kd
1778468272.351141,9.110189063045295,18.738772193599438,-9.628583130554142,83.11112785173829,-214.27077666061507,78.0,nan,18.544678706038876,1.8544678706038877,0.0
1778468274.351142,9.110189063045295,18.08082008096645,-8.970631017921155,83.11112785173829,-206.3574700177743,78.0,77.46381003270287,18.544678706038876,1.8544678706038877,0.0
1778468276.351142,9.110189063045295,18.137531538928847,-9.027342475883552,83.11112785173829,-207.409165784638,78.0,77.92657607699999,18.544678706038876,1.8544678706038877,0.0
1778468278.3511424,9.110189063045295,18.14945295341658,-9.039263890371286,83.11112785173829,-207.63024458603454,78.0,76.50374848207248,18.544678706038876,1.8544678706038877,0.0
1778468280.3511426,9.110189063045295,18.150271974705127,-9.040082911659832,83.11112785173829,-207.645433072684,78.0,76.50920135136191,18.544678706038876,1.8544678706038877,0.0
1778468282.3511431,9.110189063045295,18.164486859578005,-9.05429779653271,83.11112785173829,-207.90904354549488,78.0,78.34943744438662,18.544678706038876,1.8544678706038877,0.0
1778468284.3511446,9.110189063045295,18.144188495617104,-9.03399943257181,83.11112785173829,-207.5326169075817,78.0,78.55575097009725,18.544678706038876,1.8544678706038877,0.0
1778468286.3511453,9.110189063045295,18.150063177719296,-9.039874114674001,83.11112785173829,-207.64156099966698,78.0,79.09642975187026,18.544678706038876,1.8544678706038877,0.0
1778468288.3511465,9.110189063045295,18.15712490240447,-9.046935839359174,83.11112785173829,-207.772518415064,78.0,77.72178202431607,18.544678706038876,1.8544678706038877,0.0
1778468290.351148,9.110189063045295,18.141677546320736,-9.03148848327544,83.11112785173829,-207.4860521596334,78.0,77.4869149033982,18.544678706038876,1.8544678706038877,0.0
1778468292.3511486,9.110189063045295,18.10748513237352,-8.997296069328224,83.11112785173829,-206.8519648287984,78.0,78.11980671056588,18.544678706038876,1.8544678706038877,0.0
1778468294.3511498,9.110189063045295,18.112430550689105,-9.00224148764381,83.11112785173829,-206.94367602252788,78.0,77.53360501930436,18.544678706038876,1.8544678706038877,0.0
1778468296.3511508,9.110189063045295,18.125630539137653,-9.015441476092358,83.11112785173829,-207.18846556722963,78.0,77.6595128514083,18.544678706038876,1.8544678706038877,0.0
1778468298.3511522,9.110189063045295,18.172041896179916,-9.06185283313462,83.11112785173829,-208.04914927188966,78.0,78.58274319078018,18.544678706038876,1.8544678706038877,0.0
1778468300.3511524,9.110189063045295,18.156431079696628,-9.046242016651332,83.11112785173829,-207.75965169586814,78.0,78.89722602649496,18.544678706038876,1.8544678706038877,0.0
1778468302.3511534,9.110189063045295,18.16720063180661,-9.057011568761316,83.11112785173829,-207.95936957955576,78.0,76.7876870061694,18.544678706038876,1.8544678706038877,0.0
1778468304.351154,9.110189063045295,18.12432560122341,-9.014136538178116,83.11112785173829,-207.1642659128787,78.0,77.40902454905294,18.544678706038876,1.8544678706038877,0.0
1778468306.3511543,9.110189063045295,18.134877730439893,-9.024688667394598,83.11112785173829,-207.35995175886296,78.0,77.19405574418407,18.544678706038876,1.8544678706038877,0.0
1778468308.3511543,9.110189063045295,18.139112691251352,-9.028923628206057,83.11112785173829,-207.43848774644414,78.0,78.85742246343898,18.544678706038876,1.8544678706038877,0.0
1778468310.3511553,9.110189063045295,18.11071231746332,-9.000523254418026,83.11112785173829,-206.9118119394137,78.0,77.60081191590533,18.544678706038876,1.8544678706038877,0.0
1778468312.3511565,9.110189063045295,18.126113141899346,-9.01592407885405,83.11112785173829,-207.19741528038787,78.0,78.09595816350543,18.544678706038876,1.8544678706038877,0.0
1778468314.3511565,9.110189063045295,18.123776335206017,-9.013587272160722,83.11112785173829,-207.154079951062,78.0,78.71807448943781,18.544678706038876,1.8544678706038877,0.0
1778468316.3511572,9.110189063045295,18.116849115852368,-9.006660052807073,83.11112785173829,-207.0256168938223,78.0,78.3424680083785,18.544678706038876,1.8544678706038877,0.0
1778468318.3511577,9.110189063045295,18.13345774279417,-9.023268679748876,83.11112785173829,-207.3336185442065,78.0,77.20316185407,18.544678706038876,1.8544678706038877,0.0
1778468320.3511596,9.110189063045295,18.134903944541087,-9.024714881495791,83.11112785173829,-207.36043789094717,78.0,78.96646847484978,18.544678706038876,1.8544678706038877,0.0
