App,EndTime,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_L3_TCM,Power,AvgFreq,Action,INS_RATE,CYC_RATE,L3M_RATE,RES_STL_RATE,IPC,IPC_NORM,Reward
ones-npb-cg,1762789196.1180792,10751610249.0,7261728292.0,12132854.0,50.59127813065911,3154166666.6666665,1600000000.0,,,,,,,
ones-npb-cg,1762789198.1197913,19738584185.0,10995054278.0,23925983.0,49.233076965891264,1593750000.0,3300000000.0,4489643644.886805,1865066417.9845092,5891521.111025539,219820094.28701174,2.4072298989429846,0.8920354421767926,34.94646965356595
ones-npb-cg,1762789200.1213694,32418346271.0,16395143967.0,42432397.0,51.40598912581159,2993750000.0,1200000000.0,6334882527.459727,2697916063.845737,9245911.547818301,411928982.96526253,2.348065090812976,0.8701110278095849,33.863959718788045
ones-npb-cg,1762789202.1232026,40060905350.0,19478438321.0,54320672.0,47.460848082475046,1189583333.3333335,1400000000.0,3817780161.3361244,1540235396.8850334,5938694.0916454,169895956.8273452,2.4786991449860127,0.9185194520854552,36.7790551977838
ones-npb-cg,1762789204.1249695,46795836480.0,22057749522.0,65044805.0,47.559986302977336,1381250000.0,2900000000.0,3364493169.7133512,1288517246.9951656,5357333.509897012,100489625.43100867,2.61113553393203,0.9675957587671031,43.084751168384905
ones-npb-cg,1762789206.126553,59246395679.0,27037692642.0,85252942.0,48.41452556456062,2850520833.3333335,2200000000.0,6220354396.903308,2488001589.945324,10096074.548303863,332046022.4104059,2.5001408447813755,0.9264649981948554,38.50017728836377
ones-npb-cg,1762789208.1281278,71000972474.0,31602585932.0,104561660.0,48.079761070064094,2181250000.0,1100000000.0,5872664394.527653,2280650912.1114807,9646763.356959734,258029201.64905214,2.5749948680618555,0.9542032884948533,41.77197675245769
ones-npb-cg,1762789210.130015,78020707548.0,34203854919.0,116148869.0,46.70509113243037,1100520833.3333333,1000000000.0,3506558953.0116806,1299408447.6693566,5788143.146578173,94511809.18326312,2.698581003764529,1.0,46.70509113243037
ones-npb-cg,1762789212.138061,134428012650.0,150530455016.0,1325079922.0,74.52540976782333,1000000000.0,1600000000.0,28090641789.368557,57930242332.81608,602043460.4429108,34477540854.7484,0.48490461386273004,0.17968873759441964,0.43238134215387136
ones-npb-cg,1762789214.1414814,229575453417.0,428339330805.0,3312832835.0,87.23927471379464,1600000000.0,2100000000.0,47492499827.89281,138667292354.24896,992179654.2034565,86168450134.80443,0.34249244375930565,0.12691575434701705,0.1783440614142694
ones-npb-cg,1762789216.1447015,331320514671.0,805146801916.0,5368184673.0,93.96668017063021,2100000000.0,3000000000.0,50790755445.343544,188100885480.8149,1026023978.6714096,122765003237.58879,0.27001869404024614,0.10005951041068221,0.09413453989684485
ones-npb-cg,1762789218.1497743,439989748194.0,1335950082939.0,7442601344.0,129.5434009177902,3000000000.0,1600000000.0,54197150239.56368,264730174646.6085,1034584199.52734,177468492935.97845,0.20472600190708184,0.07586431595771571,0.056562413622430814
ones-npb-cg,1762789220.1547074,541141822358.0,1704819687479.0,9486963711.0,86.34489126495133,1600000000.0,2500000000.0,50451595225.04336,183981002197.7504,1019666116.4453266,119381752694.99649,0.27422176541258264,0.10161702206828048,0.09060163554165637
ones-npb-cg,1762789222.163048,645256283893.0,2139075295576.0,11539848700.0,109.30644445317685,2500000000.0,3000000000.0,51841038159.86515,216226076748.46506,1022179699.952509,142331621820.65103,0.23975386752344227,0.08884442126769027,0.07665425301033381
ones-npb-cg,1762789224.1679523,754651582716.0,2686863127092.0,13612482136.0,128.32412233053066,3000000000.0,3200000000.0,54563851476.86304,273223933763.6669,1033781745.5105058,183517547965.22684,0.19970377677110693,0.07400325448542013,0.05200687525797501
ones-npb-cg,1762789226.1724467,866273388533.0,3287662234440.0,15688938978.0,144.59376014940688,3197916666.666667,3100000000.0,55685765059.98618,299726005104.0565,1035900530.496547,202492857510.4471,0.18578890090185413,0.06884688680557598,0.04718483835136229
ones-npb-cg,1762789228.180482,977571985700.0,3882234905428.0,17769277002.0,135.76381291557053,3098437500.0,1400000000.0,55426617079.15486,296096739756.1539,1036006760.0712032,200530539504.22183,0.18719090633959914,0.06936642112223693,0.04531394687033975
ones-npb-cg,1762789230.1895022,1075792367914.0,4231502097818.0,19750779873.0,81.73337245586345,1400000000.0,2500000000.0,48889690571.85809,173849506364.62537,986303046.7481749,110156921986.37025,0.2812184606916209,0.10420975331084012,0.0924963344718002
ones-npb-cg,1762789232.192814,1179364709967.0,4653209478092.0,21806903618.0,109.30018992525054,2500000000.0,2100000000.0,51700558198.49144,210505107101.20398,1026362282.0006857,138423570262.87234,0.24560239373971815,0.09101168110095714,0.08239717570842399
ones-npb-cg,1762789234.1986752,1282947098525.0,5072628947717.0,23860238189.0,95.48743075671446,2100000000.0,1700000000.0,51639862527.59193,209096971544.56805,1023667405.6827646,137007227143.48859,0.24696609494693292,0.09151702120574273,0.07319001488663915
ones-npb-cg,1762789236.2047558,1383195952534.0,5416982661041.0,25904686587.0,87.9394068692317,1700000000.0,1900000000.0,49972494942.46864,171654971696.32477,1019125737.03856,110333171290.47687,0.29112174525812806,0.10787956516851349,0.11040814008145626
ones-npb-cg,1762789238.211238,1483465528520.0,5767761198612.0,27947043263.0,91.89030308819092,1900000000.0,4000000000.0,49972822967.2373,174822657684.21616,1017879327.8227638,112856269886.16716,0.2858486630348778,0.10592554480896368,0.10921236281135424
ones-npb-cg,1762789240.2179654,1591956335843.0,6309942393459.0,30004196771.0,143.50200016432035,3198958333.333333,3400000000.0,54063548561.13656,270181779266.11893,1025128500.0244668,180893914051.62143,0.20010064597245097,0.07415032036959793,0.058505547744011836
ones-npb-cg,1762789242.221003,1703405248251.0,6920795054989.0,32072498371.0,144.2988718601033,3200000000.0,2800000000.0,55639947716.55409,304963138856.14386,1032582466.7070014,206068806790.6294,0.1824481080738101,0.0676089055022971,0.04459381746175133
