Progress,Power,TOT_INS_PER_CYC,L3_TCM_PER_TCA,TOT_STL_PER_CYC,Action,Reward,Next_Progress,Next_Power,Next_TOT_INS_PER_CYC,Next_L3_TCM_PER_TCA,Next_STL_PER_CYC
0,0,0,0,0,159.0,3.5900069156293223e-06,0.047,0.7712,0.5735524639477237,0.12577742499070457,0.5006575638055908
0.047,0.7712,0.5735524639477237,0.12577742499070457,0.5006575638055908,130.0,4.425496600471221e-06,0.0462,0.5942,0.5803871166893122,0.12667725026539575,0.4968662600914588
0.0462,0.5942,0.5803871166893122,0.12667725026539575,0.4968662600914588,165.0,3.715288326228309e-06,0.0476,0.7741,0.5820025481414229,0.1245771402421255,0.49536843884595355
0.0476,0.7741,0.5820025481414229,0.1245771402421255,0.49536843884595355,141.0,3.8664460721579295e-06,0.0474,0.7345,0.5689526434093355,0.12746983843178158,0.4823647726345562
0.0474,0.7345,0.5689526434093355,0.12746983843178158,0.4823647726345562,153.0,3.773528617085601e-06,0.0478,0.7718,0.5798879503899929,0.12532513240008764,0.4949372220666218
0.0478,0.7718,0.5798879503899929,0.12532513240008764,0.4949372220666218,118.0,5.089116329775153e-06,0.0438,0.4403,0.5835433695936878,0.12589780324177047,0.49523146273187335
0.0438,0.4403,0.5835433695936878,0.12589780324177047,0.49523146273187335,83.0,2.2157622739018092e-05,0.035,0.0516,0.5866890695145857,0.1268143092548793,0.49619414190935296
0.035,0.0516,0.5866890695145857,0.1268143092548793,0.49619414190935296,83.0,1.9143494396302712e-05,0.0346,0.0577,0.5685904730527336,0.13099315306611428,0.47611056180392647
0.0346,0.0577,0.5685904730527336,0.13099315306611428,0.47611056180392647,107.0,5.878259832246039e-06,0.0414,0.3219,0.578862802644231,0.12738370636873725,0.48839496824618034
0.0414,0.3219,0.578862802644231,0.12738370636873725,0.48839496824618034,159.0,3.6879946646405816e-06,0.0478,0.7897,0.5823286307717384,0.1264296961839364,0.49669982083561914
0.0478,0.7897,0.5823286307717384,0.1264296961839364,0.49669982083561914,136.0,4.37731493391612e-06,0.0472,0.6406,0.58468942701099,0.12495616733951387,0.49887099087394815
0.0471,0.6511,0.5799344117569311,0.12755353210327247,0.4933525631753757,124.0,4.583176159939645e-06,0.045,0.5302,0.5820944798676361,0.12722626912318907,0.4950590363725829
