App,Type,Parameter,Mean,Std
phases-stream-full,MAX,ET,12.338669858781788,0.26132285160401114
phases-stream-full,MAX,ENERGY,12.338669858781788,0.26132285160401114
phases-stream-full,MIN,ET,9.439385084448453,0.8612667619505231
phases-stream-full,MIN,ENERGY,9.439385084448453,0.8612667619505231
phases-stream-full,OPT,ET,9.824040825682685,1.7294127716559526
phases-stream-full,OPT,ENERGY,9.824040825682685,1.7294127716559526
ones-stream-copy,MAX,ET,4.950902510022239,0.24380010948215824
ones-stream-copy,MAX,ENERGY,4.950902510022239,0.24380010948215824
ones-stream-copy,MIN,ET,3.912162367256298,0.539854589781649
ones-stream-copy,MIN,ENERGY,3.912162367256298,0.539854589781649
ones-stream-copy,OPT,ET,4.064564411555388,0.8198986093690906
ones-stream-copy,OPT,ENERGY,4.064564411555388,0.8198986093690906
ones-npb-cg,MAX,ET,13.07482039969193,1.1527446472492082
ones-npb-cg,MAX,ENERGY,13.07482039969193,1.1527446472492082
ones-npb-cg,MIN,ET,12.180049472459128,2.704863555614011
ones-npb-cg,MIN,ENERGY,12.180049472459128,2.704863555614011
ones-npb-cg,OPT,ET,11.823872654368646,2.380210320248483
ones-npb-cg,OPT,ENERGY,11.823872654368646,2.380210320248483
ones-npb-ep,MAX,ET,9.038072510056033,0.5715689189004403
ones-npb-ep,MAX,ENERGY,9.038072510056033,0.5715689189004403
ones-npb-ep,MIN,ET,8.190627375984038,0.5489546257881965
ones-npb-ep,MIN,ENERGY,8.190627375984038,0.5489546257881965
ones-npb-ep,OPT,ET,7.845929114396079,0.7792702902013405
ones-npb-ep,OPT,ENERGY,7.845929114396079,0.7792702902013405
ones-stream-add,MAX,ET,6.716204393456559,0.6635405209845744
ones-stream-add,MAX,ENERGY,6.716204393456559,0.6635405209845744
ones-stream-add,MIN,ET,5.490805722076462,0.6985639184886185
ones-stream-add,MIN,ENERGY,5.490805722076462,0.6985639184886185
ones-stream-add,OPT,ET,5.5661973166167495,0.8266286010641118
ones-stream-add,OPT,ENERGY,5.5661973166167495,0.8266286010641118
ones-stream-scale,MAX,ET,4.492551214481462,0.5715346358403588
ones-stream-scale,MAX,ENERGY,4.492551214481462,0.5715346358403588
ones-stream-scale,MIN,ET,3.9328419244049138,0.5553944374100472
ones-stream-scale,MIN,ENERGY,3.9328419244049138,0.5553944374100472
ones-stream-scale,OPT,ET,4.082379055678698,0.8063965289441157
ones-stream-scale,OPT,ENERGY,4.082379055678698,0.8063965289441157
ones-npb-mg,MAX,ET,3.272356823250007,0.16271351450984217
ones-npb-mg,MAX,ENERGY,3.272356823250007,0.16271351450984217
ones-npb-mg,MIN,ET,2.500151487568899,0.3012865564845819
ones-npb-mg,MIN,ENERGY,2.500151487568899,0.3012865564845819
ones-npb-mg,OPT,ET,2.5061941688777134,0.2117304394537733
ones-npb-mg,OPT,ENERGY,2.5061941688777134,0.2117304394537733
ones-stream-full,MAX,ET,24.28593407910514,1.3755721424022287
ones-stream-full,MAX,ENERGY,24.28593407910514,1.3755721424022287
ones-stream-full,MIN,ET,,
ones-stream-full,MIN,ENERGY,,
ones-stream-full,OPT,ET,19.635936625546876,2.7108446831415653
ones-stream-full,OPT,ENERGY,19.635936625546876,2.7108446831415653
ones-npb-ft,MAX,ET,3.5624555568511176,0.10131174849913549
ones-npb-ft,MAX,ENERGY,3.5624555568511176,0.10131174849913549
ones-npb-ft,MIN,ET,3.5541121738773853,0.2746211966677334
ones-npb-ft,MIN,ENERGY,3.5541121738773853,0.2746211966677334
ones-npb-ft,OPT,ET,3.622421210241823,0.29143412361481663
ones-npb-ft,OPT,ENERGY,3.622421210241823,0.29143412361481663
ones-stream-triad,MAX,ET,6.659446437287208,0.2725813963712329
ones-stream-triad,MAX,ENERGY,6.659446437287208,0.2725813963712329
ones-stream-triad,MIN,ET,5.570604814036262,0.6983434376574857
ones-stream-triad,MIN,ENERGY,5.570604814036262,0.6983434376574857
ones-stream-triad,OPT,ET,5.556976010489341,0.8207771526090704
ones-stream-triad,OPT,ENERGY,5.556976010489341,0.8207771526090704
ones-npb-bt,MAX,ET,23.535288861348377,0.6518620745716124
ones-npb-bt,MAX,ENERGY,23.535288861348377,0.6518620745716124
ones-npb-bt,MIN,ET,20.237955708831812,1.427027700244557
ones-npb-bt,MIN,ENERGY,20.237955708831812,1.427027700244557
ones-npb-bt,OPT,ET,20.61825904648449,2.464188891761408
ones-npb-bt,OPT,ENERGY,20.61825904648449,2.464188891761408
ones-npb-is,MAX,ET,15.188314195388294,0.44645207404291476
ones-npb-is,MAX,ENERGY,15.188314195388294,0.44645207404291476
ones-npb-is,MIN,ET,14.912376424089906,1.57067473165835
ones-npb-is,MIN,ENERGY,14.912376424089906,1.57067473165835
ones-npb-is,OPT,ET,15.14239595882445,2.229974250559995
ones-npb-is,OPT,ENERGY,15.14239595882445,2.229974250559995
