App,Type,Parameter,Mean,Std
ones-npb-is,MAX,ET,19.166194571556016,0.21728897611954356
ones-npb-is,MAX,ENERGY,19.166194571556016,0.21728897611954356
ones-npb-is,MIN,ET,14.674319758605268,1.9028184476541732
ones-npb-is,MIN,ENERGY,14.674319758605268,1.9028184476541732
ones-npb-is,OPT,ET,18.52486629837328,0.0
ones-npb-is,OPT,ENERGY,18.52486629837328,0.0
ones-stream-add,MAX,ET,7.9600730939969715,0.07716185748951955
ones-stream-add,MAX,ENERGY,7.9600730939969715,0.07716185748951955
ones-stream-add,MIN,ET,5.92136753713318,0.8561104654944128
ones-stream-add,MIN,ENERGY,5.92136753713318,0.8561104654944128
ones-stream-add,OPT,ET,4.869688920710066,0.0
ones-stream-add,OPT,ENERGY,4.869688920710066,0.0
phases-stream-full,MAX,ET,13.826224265313819,0.07462863105213868
phases-stream-full,MAX,ENERGY,13.826224265313819,0.07462863105213868
phases-stream-full,MIN,ET,10.21587486800057,1.5153638571192842
phases-stream-full,MIN,ENERGY,10.21587486800057,1.5153638571192842
phases-stream-full,OPT,ET,11.258038001703095,0.0
phases-stream-full,OPT,ENERGY,11.258038001703095,0.0
ones-stream-full,MAX,ET,28.265446668729066,0.0732441747600201
ones-stream-full,MAX,ENERGY,28.265446668729066,0.0732441747600201
ones-stream-full,MIN,ET,20.863424411780425,3.130866967807845
ones-stream-full,MIN,ENERGY,20.863424411780425,3.130866967807845
ones-stream-full,OPT,ET,27.241453673663134,0.0
ones-stream-full,OPT,ENERGY,27.241453673663134,0.0
ones-stream-scale,MAX,ET,5.65256482322149,0.07716510031317209
ones-stream-scale,MAX,ENERGY,5.65256482322149,0.07716510031317209
ones-stream-scale,MIN,ET,4.166322044517844,0.6096302536095739
ones-stream-scale,MIN,ENERGY,4.166322044517844,0.6096302536095739
ones-stream-scale,OPT,ET,4.511011464650026,0.0
ones-stream-scale,OPT,ENERGY,4.511011464650026,0.0
ones-stream-copy,MAX,ET,5.715386727897088,0.07708388900199761
ones-stream-copy,MAX,ENERGY,5.715386727897088,0.07708388900199761
ones-stream-copy,MIN,ET,4.201583902102596,0.5974558836769892
ones-stream-copy,MIN,ENERGY,4.201583902102596,0.5974558836769892
ones-stream-copy,OPT,ET,4.575634761764787,0.0
ones-stream-copy,OPT,ENERGY,4.575634761764787,0.0
ones-stream-triad,MAX,ET,7.673131383286884,0.06933613678374885
ones-stream-triad,MAX,ENERGY,7.673131383286884,0.06933613678374885
ones-stream-triad,MIN,ET,5.825886741197186,0.8803949813627768
ones-stream-triad,MIN,ENERGY,5.825886741197186,0.8803949813627768
ones-stream-triad,OPT,ET,4.878825010972827,0.0
ones-stream-triad,OPT,ENERGY,4.878825010972827,0.0
ones-npb-ep,MAX,ET,9.797958873775213,0.05745664775877013
ones-npb-ep,MAX,ENERGY,9.797958873775213,0.05745664775877013
ones-npb-ep,MIN,ET,8.543898572511507,0.8357247694959143
ones-npb-ep,MIN,ENERGY,8.543898572511507,0.8357247694959143
ones-npb-ep,OPT,ET,9.310524426111918,0.0
ones-npb-ep,OPT,ENERGY,9.310524426111918,0.0
